ID	HPO_Terms	Diagnostic_Genes
Native American myopathy	HP:0001324; HP:0002058; HP:0000028; HP:0000175; HP:0001252; HP:0001270; HP:0001488; HP:0001762; HP:0002020; HP:0002047; HP:0002093; HP:0002803; HP:0002804; HP:0003202; HP:0004322; HP:0008458; HP:0010674; HP:0011968; HP:0012084; HP:0000193; HP:0000218; HP:0000347; HP:0000405; HP:0000494; HP:0001260; HP:0001315; HP:0002714; HP:0011819; HP:0100295; HP:0000329; HP:0001256; HP:0001388; HP:0002540; HP:0012385	STAC3
"Alpha-mannosidosis, infantile form"	HP:0000388; HP:0000750; HP:0000943; HP:0001249; HP:0001328; HP:0002719; HP:0002721; HP:0010471; HP:0011842; HP:0012379; HP:0000280; HP:0000316; HP:0000410; HP:0000486; HP:0000518; HP:0000540; HP:0000545; HP:0000736; HP:0001251; HP:0001252; HP:0001256; HP:0001270; HP:0001433; HP:0002090; HP:0003198; HP:0011334; HP:0025406; HP:0031123; HP:0000158; HP:0000248; HP:0000256; HP:0000297; HP:0000303; HP:0000337; HP:0000407; HP:0000470; HP:0000483; HP:0000520; HP:0000543; HP:0000687; HP:0000708; HP:0000716; HP:0000738; HP:0000739; HP:0000746; HP:0000767; HP:0000768; HP:0000900; HP:0000926; HP:0000938; HP:0000977; HP:0001258; HP:0001272; HP:0001289; HP:0001363; HP:0001387; HP:0001388; HP:0001519; HP:0001537; HP:0001653; HP:0001776; HP:0001876; HP:0002120; HP:0002308; HP:0002312; HP:0002329; HP:0002553; HP:0002679; HP:0002684; HP:0002797; HP:0002857; HP:0004437; HP:0004684; HP:0005280; HP:0005791; HP:0007957; HP:0008821; HP:0009062; HP:0010665; HP:0010885; HP:0011220; HP:0012157; HP:0012368; HP:0430022; HP:0000010; HP:0001334; HP:0001659; HP:0002371	MAN2B1
Congenital tracheal stenosis	HP:0000363; HP:0025426; HP:0012768; HP:0002023; HP:0030828; HP:0100867; HP:0031935; HP:0000069; HP:0002088; HP:0005607; HP:0001643; HP:0002575; HP:0002247; HP:0002098; HP:0004935; HP:0002245; HP:0000119; HP:0000707; HP:0030680; HP:0001791; HP:0000077; HP:0002778; HP:0002101; HP:0011661; HP:0030923; HP:0001612; HP:0000961; HP:0002094; HP:0002577; HP:0012718; HP:0001629; HP:0002781; HP:0005151; HP:0004383	NONE
ALG13-CDG	HP:0012469; HP:0000343; HP:0001290; HP:0002521; HP:0000316; HP:0000331; HP:0000463; HP:0000639; HP:0000717; HP:0000750; HP:0000817; HP:0001181; HP:0002283; HP:0002312; HP:0002421; HP:0004325; HP:0012443; HP:0030047; HP:0100543	ALG13
Renal dysplasia	HP:0031501; HP:0000126; HP:0005999; HP:0000020; HP:0012622; HP:0000083; HP:0010957; HP:0002027; HP:0000010; HP:0012300; HP:0030157; HP:0000009; HP:0000070; HP:0000105; HP:0000003; HP:0008678; HP:0000091; HP:0011130; HP:0000076; HP:0012596; HP:0012330; HP:0031500; HP:0012575; HP:0000072; HP:0000822; HP:0001586; HP:0004722	NONE
Leigh syndrome	HP:0003198; HP:0001635; HP:0012751; HP:0100660; HP:0012120; HP:0001999; HP:0000964; HP:0012748; HP:0001272; HP:0000998; HP:0008336; HP:0000639; HP:0009830; HP:0002415; HP:0001399; HP:0000124; HP:0002487; HP:0001508; HP:0001263; HP:0002493; HP:0012696; HP:0100321; HP:0000602; HP:0001993; HP:0004305; HP:0001332; HP:0002521; HP:0000518; HP:0002015; HP:0002344; HP:0002171; HP:0410263; HP:0002071; HP:0002828; HP:0001251; HP:0001875; HP:0001250; HP:0100022; HP:0001257; HP:0003219; HP:0002079; HP:0003202; HP:0410145; HP:0002151; HP:0012747; HP:0001947; HP:0008972; HP:0002490; HP:0012707; HP:0002460; HP:0003348; HP:0003128; HP:0003535; HP:0002133; HP:0000407; HP:0001274; HP:0002542; HP:0000100; HP:0001266; HP:0006943; HP:0001639; HP:0000587; HP:0002878; HP:0200147; HP:0011923; HP:0001943; HP:0003648; HP:0001510; HP:0012469; HP:0001596; HP:0002376; HP:0000400; HP:0000924; HP:0002072; HP:0001324; HP:0000508; HP:0000348; HP:0008314; HP:0002793; HP:0002909; HP:0008347; HP:0002928; HP:0002305; HP:0001264; HP:0002579; HP:0007183; HP:0011924; HP:0031691; HP:0008947; HP:0011968; HP:0003390; HP:0012379; HP:0011335; HP:0040197; HP:0001629; HP:0000648; HP:0001903	NONE
Focal facial dermal dysplasia type III	HP:0000286; HP:0000322; HP:0000431; HP:0000457; HP:0000486; HP:0000494; HP:0000632; HP:0001053; HP:0001582; HP:0002023; HP:0002553; HP:0002714; HP:0005338; HP:0007495; HP:0007565; HP:0007776; HP:0008065; HP:0008070; HP:0009743; HP:0010720; HP:0010751; HP:0010935; HP:0100781	TWIST2
Congenital muscular dystrophy with intellectual disability	HP:0001249; HP:0003236; HP:0008947; HP:0030046; HP:0030099; HP:0000252; HP:0001263; HP:0001270; HP:0002120; HP:0002828; HP:0003325; HP:0007015; HP:0008981; HP:0011968; HP:0030197; HP:0000028; HP:0000054; HP:0000478; HP:0000486; HP:0000545; HP:0000580; HP:0000707; HP:0001315; HP:0001320; HP:0001321; HP:0002079; HP:0002093; HP:0002119; HP:0002465; HP:0002505; HP:0002518; HP:0002650; HP:0002827; HP:0002878; HP:0003327; HP:0003549; HP:0003712; HP:0004637; HP:0007361; HP:0008443; HP:0010628; HP:0010864; HP:0040173	POMT1; POMT2; FKRP; LARGE1; GMPPB
7p22.1 microduplication syndrome	HP:0000028; HP:0000077; HP:0000256; HP:0000316; HP:0000356; HP:0000750; HP:0000924; HP:0001263; HP:0001270; HP:0001627; HP:0001999	NONE
Aniridia-intellectual disability syndrome	HP:0000518; HP:0000526; HP:0000609; HP:0001083; HP:0002342	NONE
Beta-thalassemia intermedia	HP:0000939; HP:0010972; HP:0011904; HP:0025066; HP:0000924; HP:0000952; HP:0000980; HP:0001978; HP:0002659; HP:0004349; HP:0011031; HP:0012132; HP:0045048; HP:0100724; HP:0200042; HP:0000114; HP:0000938; HP:0001081; HP:0001392; HP:0001410; HP:0001433; HP:0001626; HP:0001722; HP:0001744; HP:0001974; HP:0002092; HP:0002240; HP:0012465; HP:0000135; HP:0000819; HP:0000821; HP:0000829; HP:0000846; HP:0001394; HP:0001402; HP:0002176	HBB
