ID	HPO_Terms	Diagnostic_Genes
PMID_37951597_Family_1_Subject_2	HP:0001263; HP:0000750; HP:0000718; HP:0100716; HP:0025161; HP:0002360; HP:0000280; HP:0025331; HP:0005280; HP:0000445; HP:0000232; HP:0000219; HP:0001251; HP:0000303; HP:0000582; HP:0000490; HP:0025403; HP:0002061; HP:0001300; HP:0002172; HP:0001338	ACBD6
PMID_37951597_Family_2_Subject_1	HP:0002123; HP:0001263; HP:0000750; HP:0031936; HP:0000280; HP:0005280; HP:0000445; HP:0000232; HP:0001251; HP:0000490; HP:0001337; HP:0001257; HP:0002079	ACBD6
PMID_37951597_Family_28_Subject_2	HP:0001263; HP:0000750; HP:0000729; HP:0000718; HP:0025161; HP:0000280; HP:0005280; HP:0000445; HP:0000232; HP:0001251; HP:0000582; HP:0000490; HP:0025403; HP:0002061; HP:0006986; HP:0002172; HP:0001513	ACBD6
PMID_37951597_Family_27_Subject_1	HP:0001263; HP:0000750; HP:0031936; HP:0000729; HP:0000718; HP:0000280; HP:0025331; HP:0005280; HP:0000445; HP:0001251; HP:0000490; HP:0001337; HP:0025403; HP:0002061; HP:0001300; HP:0001513	ACBD6
PMID_37951597_Family_21_Subject_1	HP:0012469; HP:0001263; HP:0000750; HP:0031936; HP:0000219; HP:0000582; HP:0025403; HP:0001382; HP:0002870; HP:0000540; HP:0002553; HP:0000486; HP:0002788; HP:0001182; HP:0001272	ACBD6
PMID_37951597_Family_10_Subject_2	HP:0001263; HP:0000750; HP:0031936; HP:0000729; HP:0100716; HP:0025161; HP:0002360; HP:0000280; HP:0025331; HP:0005280; HP:0000445; HP:0000219; HP:0000020; HP:0001251; HP:0000582; HP:0000490; HP:0001337; HP:0025403; HP:0001332; HP:0002061; HP:0002172; HP:0030302	ACBD6
PMID_37951597_Family_19_Subject_1	HP:0001263; HP:0000750; HP:0031936; HP:0100716; HP:0025161; HP:0002360; HP:0005280; HP:0000445; HP:0000232; HP:0000219; HP:0000020; HP:0000582; HP:0000490; HP:0001337; HP:0025403; HP:0002061; HP:0006986; HP:0001338	ACBD6
PMID_37951597_Family_6_Subject_1	HP:0001263; HP:0000750; HP:0031936; HP:0000718; HP:0025161; HP:0025331; HP:0000020; HP:0001251; HP:0000303; HP:0001337; HP:0025403; HP:0001332; HP:0002061; HP:0001300; HP:0000662	ACBD6
PMID_28513613_family_1	HP:0000705; HP:0006282	ACP4
PMID_28513613_family_2	HP:0000705; HP:0006282	ACP4
PMID_30517146_Patient_5	HP:0001252; HP:0001284; HP:0000218; HP:0030319; HP:0003701; HP:0001270; HP:0006466	ACTA1
PMID_30733661_4-year-old_girl	HP:0001845; HP:0001537; HP:0000358; HP:0000506; HP:0004308; HP:0011800; HP:0000490; HP:0002282; HP:0005487; HP:0000431	ACTB
PMID_30315159_Patient_1	HP:0011229; HP:0011228; HP:0000286; HP:0000527; HP:0000490; HP:0000431; HP:0000455; HP:0000218; HP:0000307; HP:0001643; HP:0001873; HP:0032438; HP:0011877; HP:0011342	ACTB
PMID_30315159_Patient_2_(Father_of_Patient_1)_	HP:0011229; HP:0011228; HP:0000431; HP:0000455; HP:0000664; HP:0001873	ACTB
PMID_30315159_Patient_6_	HP:0011228; HP:0000286; HP:0000455; HP:0000664; HP:0000506; HP:0000219; HP:0000396; HP:0008551; HP:0000365; HP:0001873; HP:0011877; HP:0011342	ACTB
PMID_30315159_Patient_4_(Mother_of_Patient_3)_	HP:0011229; HP:0011228; HP:0000490; HP:0000664; HP:0000506; HP:0000582; HP:0000219; HP:0000414; HP:0000154; HP:0000303; HP:0001873; HP:0032438; HP:0011877; HP:0011342	ACTB
PMID_30315159_Patient_3	HP:0011229; HP:0000286; HP:0000455; HP:0000506; HP:0000582; HP:0000219; HP:0001873; HP:0032438; HP:0011877; HP:0011342	ACTB
PMID_30315159_Patient_5	HP:0011228; HP:0000286; HP:0000455; HP:0000219; HP:0001873; HP:0032438; HP:0011877; HP:0011342	ACTB
PMID_30315159_Patient_N_	HP:0001873; HP:0011342	ACTB
PMID_24069336_proband_V_02	HP:0011877; HP:0032438; HP:0001873	ACTN1
PMID_29482508_current_case	HP:0001822; HP:0011987; HP:0001847; HP:0012531; HP:0003155	ACVR1
PMID_28823388_3_month_old_girl	HP:0001888; HP:0002720; HP:0004430; HP:0001954; HP:0002850; HP:0006532; HP:0001508; HP:0001270; HP:0009098; HP:0005359; HP:0030273	ADA
PMID_1680289_patient	HP:0031381; HP:0002720; HP:0002850; HP:0001888; HP:0002090; HP:0004430	ADA
