ID	HPO_Terms	Diagnostic_Genes
SCV000741004	HP:0002098; HP:0002533; HP:0011968; HP:0001276; HP:0000252; HP:0000350; HP:0000494; HP:0001028; HP:0000448; HP:0000470; HP:0011304; HP:0001837; HP:0008386; HP:0030084; HP:0001007; HP:0010557; HP:0008559; HP:0000478	SMARCA4
SCV005201010	HP:0012735; HP:0100582; HP:0000388; HP:0100660	DNAAF3
SCV004032262	HP:0000293; HP:0007628; HP:0000347; HP:0030022	PLCB4
SCV004100545	HP:0001252; HP:0001999; HP:0000729; HP:0001274	KANSL1
SCV005382617	HP:0000938	SERPINF1
SCV004048052	HP:0003124; HP:0031886	LDLR
SCV003806987	HP:0002510; HP:0000061; HP:0000481; HP:0001601; HP:0011344; HP:0000062; HP:0010864; HP:0000256; HP:0001257; HP:0001290; HP:0000822; HP:0004875; HP:0000826; HP:0001263; HP:0007957	NFIX
SCV005382209	HP:0003002	BRCA2
SCV001444292	HP:0001537; HP:0001508; HP:0000520; HP:0002705; HP:0002835; HP:0001363; HP:0000316; HP:0001290; HP:0003199; HP:0001002; HP:0000201; HP:0001833; HP:0011968; HP:0000176; HP:0000276; HP:0012758; HP:0100807; HP:0001631; HP:0000463; HP:0000193; HP:0003196; HP:0001357; HP:0000175; HP:0001252; HP:0000508; HP:0200034; HP:0000268; HP:0000278; HP:0000767; HP:0000494; HP:0010804; HP:0005487	SKI
SCV000741801	HP:0000365; HP:0001263; HP:0002119; HP:0001762; HP:0002705; HP:0100807; HP:0000322; HP:0000219; HP:0000347; HP:0000316; HP:0005280; HP:0000666; HP:0002572; HP:0001254; HP:0001508; HP:0001252	SKI
SCV001190207	HP:0002850; HP:0005407	STK4
SCV001447017	HP:0002352; HP:0007010	CSF1R
SCV004698186	HP:0000347	RMND1
SCV001622873	HP:0000717; HP:0007018; HP:0000960	MYBPC1
SCV004171004	HP:0001270; HP:0000579; HP:0000664; HP:0000316; HP:0000286; HP:0000377; HP:0000396; HP:0000357; HP:0000218; HP:0000347; HP:0000365; HP:0000486; HP:0001650; HP:0001601; HP:0002099; HP:0001537; HP:0001762; HP:0000768; HP:0003067; HP:0001166; HP:0005815; HP:0002761	SKI
