ID	HPO_Terms	Diagnostic_Genes
UDN564032	HP:0007018; HP:0008587; HP:0011343; HP:0001290; HP:0001336; HP:0001508; HP:0001763; HP:0002099; HP:0002947; HP:0003198; HP:0003199; HP:0003326; HP:0003388; HP:0003394; HP:0002354; HP:0011822; HP:0012046; HP:0100033; HP:0000160; HP:0000248; HP:0000252; HP:0000321; HP:0000369; HP:0000418; HP:0000483; HP:0000545	NSD2
UDN579271	HP:0001649; HP:0001880; HP:0002020; HP:0002036; HP:0002094; HP:0002099; HP:0001433; HP:0000587; HP:0001107; HP:0012432; HP:0012531; HP:0012532; HP:0040088; HP:0040115; HP:0003077; HP:0003193; HP:0003237; HP:0004313; HP:0004942; HP:0002625; HP:0002633; HP:0002850; HP:0007499; HP:0007894; HP:0010829; HP:0010976; HP:0011108; HP:0011109; HP:0100582; HP:0100633; HP:0100750; HP:0000403; HP:0000545	IFIH1
UDN891779	HP:0000692; HP:0000716; HP:0000739; HP:0000768; HP:0000858; HP:0001028; HP:0001166; HP:0001319; HP:0001382; HP:0001763; HP:0002036; HP:0000473; HP:0012146; HP:0002315; HP:0002578; HP:0002592; HP:0002751; HP:0002829; HP:0003298; HP:0003326; HP:0008770	EFEMP1
UDN813208	HP:0002031; HP:0003737; HP:0000486; HP:0000508; HP:0000565; HP:0001250; HP:0001252; HP:0001263; HP:0001276; HP:0001344; HP:0001508; HP:0002267; HP:0002376; HP:0002540	NALCN
UDN071969	HP:0012736; HP:0000571; HP:0000774; HP:0000168; HP:0000218; HP:0000252; HP:0001272; HP:0001290; HP:0001308; HP:0001324; HP:0001591; HP:0007178; HP:0009909; HP:0003199; HP:0004453; HP:0002522; HP:0002870; HP:0002878; HP:0001601; HP:0001773; HP:0002015; HP:0002091; HP:0200055	AGTPBP1
UDN983367	HP:0002171; HP:0010535; HP:0011001; HP:0011069; HP:0000365; HP:0000540; HP:0003034; HP:0003565; HP:0004330; HP:0001508; HP:0012532; HP:0100252; HP:0100774; HP:0410018; HP:0000822; HP:0000846	TGFB1
UDN659903	HP:0001882; HP:0001888; HP:0000750; HP:0008250; HP:0004313	RPA1
UDN754812	HP:0001319; HP:0011968; HP:0025331; HP:0100027; HP:0004322; HP:0000648; HP:0001249; HP:0007911; HP:0011342; HP:0001747; HP:0001988; HP:0000154; HP:0000316; HP:0000347; HP:0000431; HP:0000494; HP:0000506	RALA
UDN756775	HP:0007911; HP:0009077; HP:0001601; HP:0001290; HP:0001319; HP:0030211; HP:0000467; HP:0000544; HP:0000597; HP:0003388; HP:0003473; HP:0003701	COLQ
UDN008634	HP:0001845; HP:0002002; HP:0002126; HP:0010864; HP:0011120; HP:0001252; HP:0001274; HP:0002208; HP:0002650; HP:0012721; HP:0000011; HP:0000047; HP:0000218; HP:0000256; HP:0000280; HP:0000286; HP:0000294; HP:0000303; HP:0000337; HP:0000349; HP:0000365; HP:0000445; HP:0000463; HP:0000518; HP:0000545; HP:0000691; HP:0001081; HP:0001212; HP:0001250; HP:0005280	GDF11
