ID	HPO_Terms	Diagnostic_Genes
D_524900	HP:0002072; HP:0000684; HP:0200134; HP:0012368; HP:0008935; HP:0000311; HP:0011344; HP:0000431; HP:0000368	PIGA
D_295526	HP:0005988; HP:0011343; HP:0000388; HP:0004880	SMAD4
D_295527	HP:0004970; HP:0011343; HP:0001319	TRRAP
D_262771	HP:0004691; HP:0000422; HP:0008050; HP:0000288; HP:0001290; HP:0001263; HP:0000348; HP:0001943; HP:0001763; HP:0000358; HP:0001182; HP:0000233	ADNP
D_262776	HP:0000615; HP:0000717; HP:0000823; HP:0000252; HP:0004322	EP300
D_262786	HP:0000606; HP:0001263; HP:0004532; HP:0001792	ARID1A
D_524932	HP:0001344; HP:0003429; HP:0006934; HP:0010862; HP:0002194; HP:0000750; HP:0001252; HP:0000252; HP:0012758; HP:0001257	NKX6-2
D_262789	HP:0001211; HP:0008936; HP:0001263; HP:0003186; HP:0001118; HP:0000637; HP:0000252; HP:0002209; HP:0001388	ADNP
D_262790	HP:0004691; HP:0001999; HP:0000494; HP:0002007; HP:0001513; HP:0004442; HP:0001328; HP:0001182	SON
D_262804	HP:0000718; HP:0000490; HP:0000750; HP:0002197; HP:0001263; HP:0007021; HP:0100023	KCNQ2
D_262813	HP:0000248; HP:0001263; HP:0009748; HP:0000767; HP:0001544	EHMT1
D_262842	HP:0000372; HP:0008223; HP:0001263; HP:0000365; HP:0003508; HP:0001684; HP:0001629	HUWE1
D_295627	HP:0004209; HP:0002236; HP:0002141; HP:0009890; HP:0100876; HP:0002342; HP:0002080; HP:0000369; HP:0001270; HP:0005274; HP:0000319; HP:0000486; HP:0000219; HP:0000582	ZMYM2
D_295628	HP:0002194; HP:0000750; HP:0000817; HP:0000486; HP:0000735; HP:0001388	DDX3X
D_262866	HP:0002450; HP:0010819; HP:0000996; HP:0010818; HP:0011343; HP:0007509	UBE3A
D_262871	HP:0004209; HP:0000750; HP:0000286; HP:0005326; HP:0001270; HP:0000307; HP:0000233	TBL1XR1
D_262877	HP:0000233; HP:0100133; HP:0000272; HP:0002121; HP:0001249; HP:0002123; HP:0100704; HP:0000407; HP:0000957; HP:0000252; HP:0000322; HP:0002119	PDHA1
D_262888	HP:0001256; HP:0000635; HP:0000347; HP:0000998; HP:0008873; HP:0003119; HP:0001684; HP:0001263; HP:0002240; HP:0001744; HP:0001155; HP:0007519; HP:0006610; HP:0000768; HP:0000494	CBL
D_262889	HP:0008872; HP:0001642; HP:0005484; HP:0000486; HP:0011681	CDK13
D_262896	HP:0007018; HP:0000280; HP:0001869; HP:0000750; HP:0001263; HP:0000396; HP:0000664; HP:0000574	ELAC2
D_262898	HP:0000028; HP:0001290; HP:0001263; HP:0000252; HP:0000154	ATRX
D_295673	HP:0000400; HP:0004626; HP:0000648; HP:0000963; HP:0000260; HP:0001328; HP:0000581; HP:0000973; HP:0001385; HP:0001382; HP:0001250; HP:0000252; HP:0007495; HP:0000286; HP:0006989; HP:0011343; HP:0002829	PYCR1
D_557822	HP:0000729; HP:0001249; HP:0001250	CNOT3
D_557824	HP:0000750; HP:0001263; HP:0001250; HP:0100716; HP:0000505	PHACTR1
D_262916	HP:0000534; HP:0000864; HP:0009836; HP:0001321; HP:0004313; HP:0002236; HP:0002230; HP:0002197; HP:0002342; HP:0009765; HP:0001212; HP:0004405; HP:0002205; HP:0010109	EP300
D_295686	HP:0001172; HP:0011918; HP:0000405; HP:0000750; HP:0000494; HP:0009626; HP:0010747; HP:0000396; HP:0000319; HP:0000233; HP:0001629; HP:0000431	SF3B4
D_295688	HP:0000044; HP:0006894; HP:0000786; HP:0010632	FGFR1
D_262925	HP:0004691; HP:0006503; HP:0000808; HP:0009778; HP:0002575; HP:0001629	FANCA
D_295695	HP:0008619; HP:0002943; HP:0002575; HP:0002197; HP:0005160; HP:0100543; HP:0004502	EFTUD2
D_262929	HP:0100543; HP:0000752; HP:0007165; HP:0000736	KDM6A
D_262943	HP:0001999; HP:0001053; HP:0000252; HP:0008855; HP:0011344	HNRNPH2
D_262945	HP:0000455; HP:0000316; HP:0000252; HP:0000426	TUBB
D_262947	HP:0000252; HP:0010806; HP:0000582	NFIX
D_295717	HP:0011453; HP:0011454; HP:0008513; HP:0100543; HP:0001374; HP:0000494; HP:0000218; HP:0001382; HP:0000256; HP:0012095; HP:0001956	MN1
D_262952	HP:0000717; HP:0001249; HP:0100023; HP:0002360; HP:0002078	BCL11A
